Date;Open
13/05/2021;241.800003
14/05/2021;245.580002
17/05/2021;246.550003
18/05/2021;246.270004
19/05/2021;239.309998
20/05/2021;243.960007
21/05/2021;247.570007
24/05/2021;247.789993
25/05/2021;251.770004
26/05/2021;251.429993
27/05/2021;251.169998
28/05/2021;251
01/06/2021;251.229996
02/06/2021;248.130005
03/06/2021;245.220001
04/06/2021;247.759995
07/06/2021;249.979996
08/06/2021;255.160004
09/06/2021;253.809998
10/06/2021;254.289993
11/06/2021;257.98999
14/06/2021;257.899994
15/06/2021;259.769989
16/06/2021;259.399994
17/06/2021;256.070007
18/06/2021;259.630005
21/06/2021;259.820007
22/06/2021;262.720001
23/06/2021;265.98999
24/06/2021;266.160004
25/06/2021;266.230011
28/06/2021;266.190002
29/06/2021;268.869995
30/06/2021;270.690002
01/07/2021;269.609985
02/07/2021;272.820007
06/07/2021;278.029999
07/07/2021;279.399994
08/07/2021;276.899994
09/07/2021;275.720001
12/07/2021;279.160004
13/07/2021;277.519989
14/07/2021;282.350006
15/07/2021;282
16/07/2021;282.070007
19/07/2021;278.929993
20/07/2021;278.029999
21/07/2021;278.899994
22/07/2021;283.839996
23/07/2021;287.369995
26/07/2021;289
27/07/2021;289.429993
28/07/2021;288.98999
29/07/2021;286.23999
30/07/2021;285.170013
02/08/2021;286.359985
03/08/2021;285.420013
04/08/2021;286.220001
05/08/2021;286.880005
06/08/2021;288.51001
09/08/2021;289.75
10/08/2021;288.799988
11/08/2021;287.209991
12/08/2021;286.630005
13/08/2021;289.480011
16/08/2021;293.190002
17/08/2021;292.390015
18/08/2021;292.040009
19/08/2021;288.690002
20/08/2021;299.720001
23/08/2021;303.25
24/08/2021;305.019989
25/08/2021;304.299988
26/08/2021;300.98999
27/08/2021;298.98999
30/08/2021;301.119995
31/08/2021;304.420013
01/09/2021;302.869995
02/09/2021;302.200012
03/09/2021;300.98999
07/09/2021;301.01001
08/09/2021;299.779999
09/09/2021;300.820007
10/09/2021;298.420013
13/09/2021;297.549988
14/09/2021;299.559998
15/09/2021;303.26001
16/09/2021;303.76001
17/09/2021;304.170013
20/09/2021;296.329987
21/09/2021;295.690002
22/09/2021;296.730011
23/09/2021;298.850006
24/09/2021;298.230011
27/09/2021;296.140015
28/09/2021;289.799988
29/09/2021;285.100006
30/09/2021;285.709991
01/10/2021;282.119995
04/10/2021;287.399994
05/10/2021;284.049988
06/10/2021;285.779999
07/10/2021;295.179993
08/10/2021;296.220001
11/10/2021;292.920013
12/10/2021;295.339996
13/10/2021;294.910004
14/10/2021;299.209991
15/10/2021;302.339996
18/10/2021;303.570007
19/10/2021;308.350006
20/10/2021;309.209991
21/10/2021;307.170013
22/10/2021;310.399994
25/10/2021;309.359985
26/10/2021;311
27/10/2021;316
28/10/2021;324.329987
29/10/2021;324.130005
01/11/2021;331.359985
02/11/2021;330.309998
03/11/2021;333.899994
04/11/2021;332.890015
05/11/2021;338.51001
08/11/2021;337.299988
09/11/2021;337.109985
10/11/2021;334.570007
11/11/2021;331.25
12/11/2021;333.920013
15/11/2021;337.540009
16/11/2021;335.679993
17/11/2021;338.940002
18/11/2021;338.179993
19/11/2021;342.640015
22/11/2021;344.619995
23/11/2021;337.049988
24/11/2021;336.279999
26/11/2021;334.350006
29/11/2021;334.940002
30/11/2021;335.320007
01/12/2021;335.130005
02/12/2021;330.299988
03/12/2021;331.98999
06/12/2021;323.950012
07/12/2021;331.640015
08/12/2021;335.309998
09/12/2021;334.410004
10/12/2021;334.980011
13/12/2021;340.679993
14/12/2021;333.220001
15/12/2021;328.609985
16/12/2021;335.709991
17/12/2021;320.880005
20/12/2021;320.049988
21/12/2021;323.290009
22/12/2021;328.299988
23/12/2021;332.75
27/12/2021;335.459991
28/12/2021;343.149994
29/12/2021;341.299988
30/12/2021;341.910004
31/12/2021;338.51001
03/01/2022;335.350006
04/01/2022;334.829987
05/01/2022;325.859985
06/01/2022;313.149994
07/01/2022;314.149994
10/01/2022;309.48999
11/01/2022;313.380005
12/01/2022;319.670013
13/01/2022;320.470001
14/01/2022;304.25
18/01/2022;304.070007
19/01/2022;306.290009
20/01/2022;309.070007
21/01/2022;302.690002
24/01/2022;292.200012
25/01/2022;291.519989
26/01/2022;307.98999
27/01/2022;302.660004
28/01/2022;300.230011
31/01/2022;308.950012
01/02/2022;310.410004
02/02/2022;309.630005
03/02/2022;309.48999
04/02/2022;300.209991
07/02/2022;306.170013
08/02/2022;301.25
09/02/2022;309.869995
10/02/2022;304.040009
11/02/2022;303.190002
14/02/2022;293.769989
15/02/2022;300.01001
16/02/2022;298.369995
17/02/2022;296.359985
18/02/2022;293.049988
22/02/2022;285
23/02/2022;290.179993
24/02/2022;272.51001
25/02/2022;295.140015
28/02/2022;294.309998
01/03/2022;296.399994
02/03/2022;295.359985
03/03/2022;302.890015
04/03/2022;294.290009
07/03/2022;288.529999
08/03/2022;277.799988
09/03/2022;283.440002
10/03/2022;283.019989
11/03/2022;287.959991
14/03/2022;280.339996
15/03/2022;280.350006
16/03/2022;289.109985
17/03/2022;293.290009
18/03/2022;295.369995
21/03/2022;298.890015
22/03/2022;299.799988
23/03/2022;300.51001
24/03/2022;299.140015
25/03/2022;305.230011
28/03/2022;304.329987
29/03/2022;313.910004
30/03/2022;313.76001
31/03/2022;313.899994
01/04/2022;309.369995
04/04/2022;310.089996
05/04/2022;313.269989
06/04/2022;305.190002
07/04/2022;296.660004
08/04/2022;300.440002
11/04/2022;291.790009
12/04/2022;289.23999
13/04/2022;282.730011
14/04/2022;288.089996
18/04/2022;278.910004
19/04/2022;279.380005
20/04/2022;289.399994
21/04/2022;288.579987
22/04/2022;281.679993
25/04/2022;273.290009
26/04/2022;277.5
27/04/2022;282.100006
28/04/2022;285.190002
29/04/2022;288.609985
02/05/2022;277.709991
03/05/2022;283.959991
04/05/2022;282.589996
05/05/2022;285.540009
06/05/2022;274.809998
09/05/2022;270.059998
10/05/2022;271.690002
11/05/2022;265.679993
12/05/2022;257.690002
13/05/2022;257.350006
16/05/2022;259.959991
17/05/2022;266.109985
18/05/2022;263
19/05/2022;253.899994
20/05/2022;257.23999
23/05/2022;255.490005
24/05/2022;257.890015
25/05/2022;258.140015
26/05/2022;262.269989
27/05/2022;268.480011
31/05/2022;272.529999
01/06/2022;275.200012
02/06/2022;264.450012
03/06/2022;270.309998
06/06/2022;272.059998
07/06/2022;266.640015
08/06/2022;271.709991
09/06/2022;267.779999
10/06/2022;260.579987
13/06/2022;245.110001
14/06/2022;243.860001
15/06/2022;248.309998
16/06/2022;245.979996
17/06/2022;244.699997
21/06/2022;250.259995
22/06/2022;251.889999
23/06/2022;255.570007
24/06/2022;261.809998
27/06/2022;268.209991
28/06/2022;263.980011
29/06/2022;257.589996
30/06/2022;257.049988
01/07/2022;256.390015
05/07/2022;256.160004
06/07/2022;263.75
07/07/2022;265.119995
08/07/2022;264.790009
11/07/2022;265.649994
12/07/2022;265.880005
13/07/2022;250.190002
14/07/2022;250.570007
15/07/2022;255.720001
18/07/2022;259.75
19/07/2022;257.579987
20/07/2022;259.899994
21/07/2022;259.790009
22/07/2022;265.23999
25/07/2022;261
26/07/2022;259.859985
27/07/2022;261.160004
28/07/2022;269.75
29/07/2022;277.700012
01/08/2022;277.820007
02/08/2022;276
03/08/2022;276.76001
04/08/2022;281.799988
05/08/2022;279.149994
08/08/2022;284.049988
09/08/2022;279.640015
10/08/2022;288.170013
11/08/2022;290.850006
12/08/2022;288.480011
15/08/2022;291
16/08/2022;291.98999
17/08/2022;289.73999
18/08/2022;290.190002
19/08/2022;288.899994
22/08/2022;282.079987
23/08/2022;276.440002
24/08/2022;275.410004
25/08/2022;277.329987
26/08/2022;279.079987
29/08/2022;265.850006
30/08/2022;266.670013
31/08/2022;265.390015
01/09/2022;258.869995
02/09/2022;261.700012
06/09/2022;256.200012
07/09/2022;254.699997
08/09/2022;257.51001
09/09/2022;260.5
12/09/2022;265.779999
13/09/2022;258.839996
14/09/2022;253.529999
15/09/2022;249.770004
16/09/2022;244.259995
19/09/2022;242.470001
